Timestamp,Load_Demand_MW
2024-01-01 00:00:00,14096.426723017727
2024-01-01 00:00:01,14768.767976530136
2024-01-01 00:00:02,14120.227518238324
2024-01-01 00:00:03,15758.537388029816
2024-01-01 00:00:04,15756.484304299336
2024-01-01 00:00:05,14359.085263892708
2024-01-01 00:00:06,15321.241662080003
2024-01-01 00:00:07,14515.594929652123
2024-01-01 00:00:08,15311.812644689595
2024-01-01 00:00:09,14720.183114108348
2024-01-01 00:00:10,15039.115828565053
2024-01-01 00:00:11,14964.943086058358
2024-01-01 00:00:12,14635.341547118665
2024-01-01 00:00:13,14451.614584901141
2024-01-01 00:00:14,14825.282337477895
2024-01-01 00:00:15,14891.862820929773
2024-01-01 00:00:16,15100.911760694617
2024-01-01 00:00:17,14150.770470269044
2024-01-01 00:00:18,14040.4329268013
2024-01-01 00:00:19,15088.118256744849
2024-01-01 00:00:20,14363.318798469521
2024-01-01 00:00:21,14786.402267015854
2024-01-01 00:00:22,14784.046572075256
2024-01-01 00:00:23,14172.191477455917
2024-01-01 00:00:24,13993.33215168664
2024-01-01 00:00:25,15412.879509829421
2024-01-01 00:00:26,14693.87737490658
2024-01-01 00:00:27,14482.861981549455
2024-01-01 00:00:28,14060.111107605799
2024-01-01 00:00:29,14272.298601098048
2024-01-01 00:00:30,14992.314905174137
2024-01-01 00:00:31,14859.81796874902
2024-01-01 00:00:32,14445.37158786318
2024-01-01 00:00:33,15220.6709102431
2024-01-01 00:00:34,15032.279529877065
2024-01-01 00:00:35,14539.134033192027
2024-01-01 00:00:36,14935.239040397619
2024-01-01 00:00:37,14745.125060721552
2024-01-01 00:00:38,14040.83157172623
2024-01-01 00:00:39,14809.665615350952
2024-01-01 00:00:40,14432.375738066045
2024-01-01 00:00:41,14624.371168665028
2024-01-01 00:00:42,13996.878557841155
2024-01-01 00:00:43,13904.623325766368
2024-01-01 00:00:44,14690.046796275368
2024-01-01 00:00:45,15642.038062633665
2024-01-01 00:00:46,14368.410291499606
2024-01-01 00:00:47,13616.755906261473
2024-01-01 00:00:48,15713.169952129134
2024-01-01 00:00:49,14957.643586017102
2024-01-01 00:00:50,15329.66218707793
2024-01-01 00:00:51,14331.000450488642
2024-01-01 00:00:52,15407.640383929744
2024-01-01 00:00:53,15280.717577321655
2024-01-01 00:00:54,14703.67611214102
2024-01-01 00:00:55,14250.452438235763
2024-01-01 00:00:56,14193.811430491352
2024-01-01 00:00:57,14636.963496190756
2024-01-01 00:00:58,15341.533608463526
2024-01-01 00:00:59,14674.807021654511
2024-01-01 00:01:00,14627.521234589407
2024-01-01 00:01:01,14746.057383004627
2024-01-01 00:01:02,14456.99285119489
2024-01-01 00:01:03,14709.895553111379
2024-01-01 00:01:04,14753.62930059338
2024-01-01 00:01:05,15625.649136531518
2024-01-01 00:01:06,15361.998209110512
2024-01-01 00:01:07,15080.174292344022
2024-01-01 00:01:08,15938.799139226237
2024-01-01 00:01:09,15299.843807297875
2024-01-01 00:01:10,14654.194133429604
2024-01-01 00:01:11,15998.704512608081
2024-01-01 00:01:12,15370.084973537761
2024-01-01 00:01:13,15255.900502404056
2024-01-01 00:01:14,14466.369690946423
2024-01-01 00:01:15,15959.09231376014
2024-01-01 00:01:16,14820.24093369343
2024-01-01 00:01:17,14366.88169609836
2024-01-01 00:01:18,14167.228313603688
2024-01-01 00:01:19,16027.652017903718
2024-01-01 00:01:20,15503.268218863675
2024-01-01 00:01:21,14886.009751656875
2024-01-01 00:01:22,14232.797560639614
2024-01-01 00:01:23,15996.529705229832
2024-01-01 00:01:24,14435.220791422003
2024-01-01 00:01:25,14917.988925454778
2024-01-01 00:01:26,14353.921748980447
2024-01-01 00:01:27,15668.611119541152
2024-01-01 00:01:28,15552.762277551556
2024-01-01 00:01:29,14356.738703198576
2024-01-01 00:01:30,15166.969723746837
2024-01-01 00:01:31,14813.439563924016
2024-01-01 00:01:32,14802.918959311894
2024-01-01 00:01:33,14217.298526271024
2024-01-01 00:01:34,14510.073986091724
2024-01-01 00:01:35,14392.632050445149
2024-01-01 00:01:36,14219.557564842176
2024-01-01 00:01:37,14372.204610952742
2024-01-01 00:01:38,15043.932820383347
2024-01-01 00:01:39,15442.881456247698
2024-01-01 00:01:40,14633.77195089942
2024-01-01 00:01:41,14800.985282015581
2024-01-01 00:01:42,15144.84121146434
2024-01-01 00:01:43,14609.946941527114
2024-01-01 00:01:44,14974.271819359019
2024-01-01 00:01:45,15017.340448075129
2024-01-01 00:01:46,15674.26372596151
2024-01-01 00:01:47,14766.723173584962
2024-01-01 00:01:48,15273.68377264175
2024-01-01 00:01:49,14693.775703602334
2024-01-01 00:01:50,15546.751213334157
2024-01-01 00:01:51,15395.63544001059
2024-01-01 00:01:52,15121.838072534727
2024-01-01 00:01:53,16029.877176294167
2024-01-01 00:01:54,14329.380051183685
2024-01-01 00:01:55,14371.468917917386
2024-01-01 00:01:56,15277.378247940744
2024-01-01 00:01:57,14373.525024452727
2024-01-01 00:01:58,15396.906243311623
2024-01-01 00:01:59,14688.271409156432
2024-01-01 00:02:00,14390.473001043641
2024-01-01 00:02:01,14308.864729945533
2024-01-01 00:02:02,14762.489893310709
2024-01-01 00:02:03,14696.409285428475
2024-01-01 00:02:04,15042.31281782045
